330_SWE (m),392_SWE (m),393_SWE (m),763_SWE (m),533_SWE (m),684_SWE (m),814_SWE (m),896_SWE (m),1118_SWE (m),1145_SWE (m)
0.13462,0.2158999999999999,0.1676399999999999,0.13462,0.2438399999999999,0.15748,0.18796,0.15494,0.10922,0.1397
0.13462,0.21844,0.1676399999999999,0.13462,0.2438399999999999,0.15748,0.1905,0.15494,0.10922,0.1397
0.13716,0.21844,0.1676399999999999,0.13462,0.2438399999999999,0.16002,0.1905,0.16002,0.11176,0.14478
0.13716,0.2209799999999999,0.17018,0.13462,0.2438399999999999,0.16002,0.1905,0.16256,0.11176,0.1473199999999999
0.1397,0.2209799999999999,0.17018,0.13716,0.2438399999999999,0.16002,0.1905,0.16256,0.11176,0.14986
0.1397,0.2209799999999999,0.17018,0.1422399999999999,0.2438399999999999,0.16002,0.19812,0.1676399999999999,0.11176,0.14986
0.1397,0.22606,0.1727199999999999,0.14478,0.2463799999999999,0.1651,0.2057399999999999,0.1777999999999999,0.11176,0.1523999999999999
0.1422399999999999,0.2311399999999999,0.1777999999999999,0.14986,0.25146,0.1676399999999999,0.21844,0.18288,0.1143,0.15748
0.1397,0.23622,0.18288,0.14986,0.25146,0.17018,0.21844,0.18542,0.1143,0.15494
0.13716,0.23622,0.18288,0.14986,0.254,0.17018,0.21844,0.18542,0.1143,0.1523999999999999
0.13462,0.2336799999999999,0.18288,0.1473199999999999,0.25654,0.17018,0.21844,0.18288,0.1168399999999999,0.1523999999999999
0.13462,0.2336799999999999,0.18288,0.1473199999999999,0.25654,0.17018,0.21844,0.1803399999999999,0.1168399999999999,0.15494
0.1397,0.2336799999999999,0.18288,0.1473199999999999,0.25654,0.17018,0.21844,0.1803399999999999,0.1168399999999999,0.15748
0.14478,0.2336799999999999,0.1803399999999999,0.14986,0.25654,0.17018,0.2209799999999999,0.18288,0.1168399999999999,0.15748
0.1473199999999999,0.23622,0.1803399999999999,0.14986,0.26416,0.1777999999999999,0.2209799999999999,0.18796,0.1168399999999999,0.16002
0.15494,0.2413,0.18288,0.15748,0.2717799999999999,0.18796,0.2286,0.20066,0.1219199999999999,0.16002
0.16002,0.2438399999999999,0.18796,0.16256,0.27686,0.19812,0.2438399999999999,0.21082,0.12446,0.1676399999999999
0.16002,0.2438399999999999,0.1905,0.16256,0.2844799999999999,0.19558,0.2438399999999999,0.21844,0.12446,0.1676399999999999
0.1676399999999999,0.25654,0.19558,0.17018,0.2946399999999999,0.2057399999999999,0.25146,0.2336799999999999,0.13208,0.17018
0.1727199999999999,0.25654,0.19558,0.1727199999999999,0.29972,0.2082799999999999,0.25654,0.2463799999999999,0.13462,0.17526
0.1777999999999999,0.2667,0.2032,0.1777999999999999,0.30988,0.22352,0.2667,0.25908,0.1397,0.1803399999999999
0.1803399999999999,0.2667,0.2032,0.1803399999999999,0.30988,0.22352,0.2717799999999999,0.25908,0.1397,0.1803399999999999
0.1803399999999999,0.2667,0.2032,0.1803399999999999,0.30988,0.22352,0.2717799999999999,0.26162,0.1397,0.18288
0.18796,0.27686,0.21082,0.18796,0.32004,0.2336799999999999,0.27686,0.2717799999999999,0.1473199999999999,0.18796
0.19558,0.2920999999999999,0.2209799999999999,0.19812,0.3302,0.2413,0.28702,0.2794,0.14986,0.19304
0.19558,0.2920999999999999,0.2209799999999999,0.19812,0.3302,0.2413,0.28702,0.27686,0.14986,0.1905
0.19558,0.2920999999999999,0.2209799999999999,0.19812,0.3302,0.2413,0.28702,0.27686,0.14986,0.18796
0.19558,0.2946399999999999,0.2209799999999999,0.19812,0.3302,0.2413,0.28956,0.27686,0.14986,0.1905
0.19558,0.2946399999999999,0.2209799999999999,0.19812,0.33782,0.2438399999999999,0.2920999999999999,0.2794,0.1523999999999999,0.19304
0.2082799999999999,0.30734,0.22606,0.2082799999999999,0.35306,0.24892,0.30734,0.28956,0.15494,0.2032
0.2209799999999999,0.33782,0.24892,0.21844,0.38354,0.26162,0.32004,0.30226,0.1676399999999999,0.2209799999999999
0.22352,0.33782,0.254,0.22352,0.38354,0.27432,0.3302,0.31242,0.1676399999999999,0.2209799999999999
0.22606,0.35306,0.26416,0.2311399999999999,0.39624,0.28702,0.34036,0.32512,0.17526,0.2286
0.22606,0.35306,0.26416,0.2311399999999999,0.39624,0.28702,0.34036,0.32766,0.17526,0.2286
0.22606,0.35306,0.26416,0.2311399999999999,0.40132,0.28702,0.34036,0.3302,0.17526,0.2286
0.2311399999999999,0.3606799999999999,0.2667,0.23876,0.40386,0.28956,0.3454399999999999,0.33274,0.17526,0.2311399999999999
0.2311399999999999,0.3606799999999999,0.2667,0.23876,0.40386,0.28956,0.3454399999999999,0.33274,0.17526,0.2311399999999999
0.2311399999999999,0.3606799999999999,0.2667,0.23876,0.40386,0.28956,0.3454399999999999,0.33274,0.17526,0.2311399999999999
0.2311399999999999,0.3606799999999999,0.2667,0.23876,0.40386,0.28956,0.3454399999999999,0.33274,0.17526,0.2311399999999999
0.2311399999999999,0.3606799999999999,0.2667,0.23876,0.40386,0.28956,0.3454399999999999,0.33274,0.17526,0.2311399999999999
0.2311399999999999,0.3606799999999999,0.2667,0.23876,0.40386,0.28956,0.3454399999999999,0.33274,0.17526,0.2311399999999999
0.2311399999999999,0.3606799999999999,0.2667,0.23876,0.40386,0.28956,0.3454399999999999,0.33274,0.17526,0.2311399999999999
0.2311399999999999,0.3606799999999999,0.2667,0.23876,0.40386,0.28956,0.3454399999999999,0.33274,0.17526,0.2311399999999999
0.2311399999999999,0.3606799999999999,0.2667,0.23876,0.40386,0.28956,0.3454399999999999,0.33274,0.17526,0.2311399999999999
0.2311399999999999,0.3606799999999999,0.2667,0.23876,0.40386,0.28956,0.3454399999999999,0.33274,0.17526,0.2311399999999999
0.23876,0.36576,0.2717799999999999,0.2438399999999999,0.40894,0.2971799999999999,0.3606799999999999,0.3454399999999999,0.18288,0.23876
0.2413,0.36576,0.2717799999999999,0.2438399999999999,0.41402,0.30226,0.37338,0.3454399999999999,0.18288,0.2438399999999999
0.2413,0.36576,0.2717799999999999,0.2438399999999999,0.41402,0.30226,0.37338,0.3454399999999999,0.18288,0.2438399999999999
0.2413,0.36576,0.2717799999999999,0.2438399999999999,0.41402,0.30226,0.37338,0.3454399999999999,0.18288,0.2438399999999999
0.254,0.38354,0.2794,0.25654,0.4419599999999999,0.3175,0.39116,0.3555999999999999,0.1905,0.25654
0.254,0.38354,0.2844799999999999,0.25908,0.4419599999999999,0.3175,0.39116,0.3555999999999999,0.1905,0.25654
0.254,0.38354,0.28702,0.25908,0.44704,0.3175,0.39116,0.3555999999999999,0.19304,0.25908
0.254,0.38354,0.28702,0.25908,0.44704,0.3175,0.39116,0.3555999999999999,0.19304,0.25908
0.254,0.39116,0.28956,0.25908,0.44958,0.32004,0.3987799999999999,0.3581399999999999,0.19304,0.26162
0.254,0.39116,0.28702,0.26162,0.44958,0.32004,0.3987799999999999,0.3606799999999999,0.19304,0.26162
0.254,0.39116,0.2844799999999999,0.26162,0.44958,0.32004,0.3987799999999999,0.3606799999999999,0.19304,0.26162
0.254,0.39116,0.2819399999999999,0.26416,0.44958,0.32004,0.40132,0.3606799999999999,0.1905,0.25908
0.254,0.39116,0.27686,0.26416,0.44958,0.32004,0.40132,0.3606799999999999,0.18796,0.25654
0.254,0.39116,0.27432,0.26416,0.44958,0.32004,0.40132,0.3606799999999999,0.18542,0.25654
0.254,0.39116,0.27432,0.26416,0.44958,0.32004,0.3987799999999999,0.3606799999999999,0.1777999999999999,0.25654
0.254,0.39116,0.27432,0.26416,0.44958,0.32004,0.3987799999999999,0.3606799999999999,0.1727199999999999,0.25654
0.254,0.39116,0.27432,0.26416,0.4445,0.32004,0.3987799999999999,0.3606799999999999,0.1651,0.25654
0.254,0.39624,0.2794,0.2667,0.4445,0.32004,0.40132,0.3606799999999999,0.16256,0.25654
0.25146,0.39624,0.2794,0.25654,0.43942,0.30734,0.40132,0.3581399999999999,0.15748,0.25654
0.2438399999999999,0.39624,0.2794,0.24892,0.4292599999999999,0.3047999999999999,0.40132,0.3454399999999999,0.14986,0.25654
0.2413,0.39624,0.2819399999999999,0.2463799999999999,0.4241799999999999,0.2971799999999999,0.40132,0.33274,0.1397,0.25654
0.2463799999999999,0.40132,0.2844799999999999,0.24892,0.4317999999999999,0.30988,0.4191,0.3352799999999999,0.127,0.25908
0.24892,0.4064,0.2946399999999999,0.24892,0.4317999999999999,0.31242,0.42164,0.3352799999999999,0.12446,0.26162
0.24892,0.40894,0.30226,0.24892,0.4317999999999999,0.31242,0.42164,0.3352799999999999,0.1168399999999999,0.2667
0.25146,0.41402,0.30734,0.25146,0.43688,0.32258,0.4317999999999999,0.3454399999999999,0.10922,0.26924
0.25146,0.41402,0.31242,0.25146,0.4419599999999999,0.32258,0.43434,0.3454399999999999,0.1016,0.27432
0.24892,0.41402,0.31242,0.24892,0.4419599999999999,0.32258,0.43434,0.34036,0.09398,0.26924
0.2463799999999999,0.41402,0.31242,0.2463799999999999,0.4419599999999999,0.32258,0.43434,0.33782,0.0888999999999999,0.26416
0.2438399999999999,0.41402,0.31242,0.2438399999999999,0.4419599999999999,0.30988,0.43942,0.32512,0.0609599999999999,0.26162
0.25146,0.43434,0.32258,0.24892,0.4622799999999999,0.32512,0.45212,0.34036,0.0635,0.27432
0.25908,0.4419599999999999,0.32258,0.254,0.47244,0.33274,0.45974,0.3479799999999999,0.06858,0.27686
0.25908,0.4419599999999999,0.32258,0.254,0.47752,0.3352799999999999,0.4622799999999999,0.35052,0.06604,0.2794
0.25908,0.4419599999999999,0.32258,0.254,0.47752,0.34036,0.46482,0.35052,0.0508,0.2794
0.25908,0.4419599999999999,0.32258,0.254,0.47752,0.3429,0.46482,0.35052,0.04064,0.2794
0.25908,0.43942,0.3175,0.254,0.47752,0.3454399999999999,0.46482,0.35052,0.0304799999999999,0.2794
0.25146,0.43688,0.30988,0.254,0.4800599999999999,0.3302,0.4622799999999999,0.35052,0.02032,0.27432
0.24892,0.43688,0.30226,0.25654,0.4800599999999999,0.3175,0.4622799999999999,0.34036,0.0152399999999999,0.26924
0.26416,0.4622799999999999,0.32766,0.26162,0.49784,0.33782,0.4800599999999999,0.3479799999999999,0.01016,0.27686
0.2717799999999999,0.4749799999999999,0.33782,0.26924,0.49784,0.34036,0.4800599999999999,0.3479799999999999,0.00508,0.2794
0.2717799999999999,0.47752,0.3429,0.2717799999999999,0.5003799999999999,0.3429,0.4826,0.3479799999999999,0.00508,0.2819399999999999
0.27432,0.4800599999999999,0.3429,0.2717799999999999,0.5003799999999999,0.3454399999999999,0.48514,0.3479799999999999,0.00508,0.2819399999999999
0.27432,0.4826,0.3429,0.27432,0.5003799999999999,0.3454399999999999,0.48514,0.3479799999999999,0.00508,0.2819399999999999
0.27432,0.4800599999999999,0.3429,0.27432,0.5054599999999999,0.3454399999999999,0.48514,0.35052,0.00508,0.2819399999999999
0.28702,0.4927599999999999,0.3454399999999999,0.27686,0.52832,0.3555999999999999,0.52324,0.37338,0.01016,0.3047999999999999
0.2971799999999999,0.51308,0.35306,0.2844799999999999,0.55118,0.37338,0.53594,0.381,0.0254,0.3175
0.30226,0.5206999999999999,0.3555999999999999,0.28702,0.5613400000000001,0.37592,0.53594,0.38354,0.02032,0.32004
