prcp (mm/day),tmax (deg c),tmin (deg c),330_SWE (m),392_SWE (m),393_SWE (m),763_SWE (m),533_SWE (m),684_SWE (m),814_SWE (m),896_SWE (m),1118_SWE (m),1145_SWE (m)
0.0,17.95,0.19,0.25146,0.41402,0.31242,0.25146,,,,,,
0.0,15.06,-1.51,0.24892,0.41402,0.31242,0.24892,,,,,,
0.0,12.53,-2.13,0.2463799999999999,0.41402,0.31242,0.2463799999999999,,,,,,
6.17,10.45,0.0,0.2438399999999999,0.41402,0.31242,0.2438399999999999,,,,,,
1.88,2.99,-4.75,0.25146,0.43434,0.32258,0.24892,,,,,,
0.35,5.86,-4.88,0.25908,0.4419599999999999,0.32258,0.254,,,,,,
0.0,8.87,-0.75,0.25908,0.4419599999999999,0.32258,0.254,,,,,,
0.0,8.61,-6.17,0.25908,0.4419599999999999,0.32258,0.254,,,,,,
0.0,13.46,-6.62,0.25908,0.4419599999999999,0.32258,0.254,,,,,,
0.0,19.12,-4.7,0.25908,0.43942,0.3175,0.254,,,,,,
0.0,19.1,0.31,0.25146,0.43688,0.30988,0.254,,,,,,
8.75,13.31,0.06,0.24892,0.43688,0.30226,0.25654,,,,,,
0.25,6.92,-1.39,0.26416,0.4622799999999999,0.32766,0.26162,,,,,,
0.0,8.6,-3.87,0.2717799999999999,0.4749799999999999,0.33782,0.26924,,,,,,
0.0,9.39,-0.83,0.2717799999999999,0.47752,0.3429,0.2717799999999999,,,,,,
0.0,8.59,-5.19,0.27432,0.4800599999999999,0.3429,0.2717799999999999,,,,,,
0.0,13.87,-5.15,0.27432,0.4826,0.3429,0.27432,,,,,,
5.6,11.78,-0.46,0.27432,0.4800599999999999,0.3429,0.27432,,,,,,
11.04,6.03,-0.35,0.28702,0.4927599999999999,0.3454399999999999,0.27686,,,,,,
0.57,6.16,-1.38,0.2971799999999999,0.51308,0.35306,0.2844799999999999,,,,,,
0.65,8.47,-1.06,0.30226,0.5206999999999999,0.3555999999999999,0.28702,,,,,,
0.0,10.6,-5.14,0.30226,0.5334,0.3606799999999999,0.2971799999999999,,,,,,
0.0,15.64,-4.36,0.30226,0.5334,0.3606799999999999,0.2946399999999999,,,,,,
0.0,18.1,-1.74,0.2971799999999999,0.5308599999999999,0.3606799999999999,0.28956,,,,,,
0.0,18.62,-0.74,0.28956,0.5257799999999999,0.3555999999999999,0.2844799999999999,,,,,,
0.95,13.44,-0.65,0.2844799999999999,0.52324,0.35306,0.27686,,,,,,
0.0,17.54,-4.59,0.2819399999999999,0.5206999999999999,0.35306,0.27432,,,,,,
0.0,21.6,-1.49,0.26416,0.51816,0.35306,0.26416,,,,,,
0.0,22.48,1.06,0.2463799999999999,0.51054,0.35306,0.254,,,,,,
0.0,21.43,5.2,0.22352,0.5003799999999999,0.3479799999999999,0.2336799999999999,,,,,,
0.3,18.62,5.23,0.21336,0.49022,0.3429,0.21336,,,,,,
0.5,16.42,3.22,0.2032,0.4749799999999999,0.33782,0.19558,,,,,,
0.2,18.61,0.4,0.19812,0.4673599999999999,0.33274,0.18542,,,,,,
0.0,18.09,3.52,0.1803399999999999,0.4546599999999999,0.32258,0.1676399999999999,,,,,,
11.62,13.25,0.29,0.15748,0.43942,0.30734,0.1523999999999999,,,,,,
5.75,5.21,-2.4,0.15748,0.4546599999999999,0.3175,0.1523999999999999,,,,,,
0.0,10.03,-2.39,0.16256,0.45974,0.31496,0.15494,,,,,,
0.0,11.03,-2.02,0.14986,0.45974,0.32258,0.15748,,,,,,
0.0,12.04,-0.7,0.1422399999999999,0.45974,0.32258,0.14478,,,,,,
0.0,15.65,1.41,0.1422399999999999,0.46482,0.32258,0.13716,,,,,,
0.0,20.83,0.47,0.1422399999999999,0.4572,0.31496,0.127,,,,,,
0.0,22.43,1.22,0.1219199999999999,0.45212,0.30226,0.11176,,,,,,
0.0,23.64,5.96,0.09144,0.43434,0.2794,0.0838199999999999,,,,,,
2.59,20.19,6.66,0.06604,0.40894,0.254,0.05588,,,,,,
0.62,13.43,3.18,0.0761999999999999,0.4191,0.254,0.05334,,,,,,
1.98,13.31,3.25,0.08128,0.4191,0.25146,0.0508,,,,,,
5.25,12.28,3.66,0.0838199999999999,0.42672,0.25146,0.0508,,,,,,
2.48,12.39,2.92,0.0888999999999999,0.4445,0.26416,0.0584199999999999,,,,,,
1.97,10.25,1.74,0.0838199999999999,0.4445,0.25908,0.05334,,,,,,
2.36,9.52,0.37,0.0838199999999999,0.45212,0.26924,0.0635,,,,,,
3.04,12.62,0.52,0.08128,0.4546599999999999,0.2717799999999999,0.0635,,,,,,
0.0,11.81,3.46,0.0736599999999999,0.45212,0.26416,0.0584199999999999,,,,,,
0.0,17.37,-1.77,0.0584199999999999,0.44958,0.25908,0.04826,,,,,,
0.0,20.84,-0.73,0.0355599999999999,0.4419599999999999,0.23876,0.02286,,,,,,
0.0,24.15,1.38,0.0127,0.42672,0.21336,0.0,,,,,,
0.0,24.5,6.75,0.0,0.40132,0.18288,0.0,,,,,,
0.0,20.72,8.18,0.0,0.37592,0.15748,0.0,,,,,,
0.0,14.8,4.48,0.00508,0.37592,0.1473199999999999,0.0,,,,,,
4.41,10.06,5.89,0.0,0.37592,0.1422399999999999,0.0,,,,,,
2.36,17.11,5.86,0.0177799999999999,0.39624,0.15748,0.0076199999999999,,,,,,
12.97,14.77,-0.78,0.00508,0.38354,0.13462,0.0,,,,,,
3.58,13.51,-1.91,0.0,0.381,0.1219199999999999,0.0,,,,,,
0.3,20.94,-1.91,0.0,0.37338,0.09144,0.0,,,,,,
0.0,25.36,2.52,0.0,0.35306,0.0609599999999999,0.0,,,,,,
0.0,26.12,4.82,0.0,0.3302,0.0380999999999999,0.0,,,,,,
4.08,21.09,8.37,0.0,0.30988,0.0254,0.0,,,,,,
4.11,14.62,5.79,0.0,0.3047999999999999,0.0177799999999999,0.0,,,,,,
0.0,11.89,5.99,0.0,0.32258,0.0127,0.0,,,,,,
0.0,20.43,2.01,0.0,0.3175,0.0076199999999999,0.0,,,,,,
0.0,22.52,3.82,0.0,0.30734,0.00508,0.0,,,,,,
5.67,21.74,7.81,0.0,0.2819399999999999,0.0,0.0,,,,,,
6.6,19.29,4.86,0.0,0.25146,0.0,0.0,,,,,,
1.48,15.43,2.08,0.0,0.24892,0.0,0.0,,,,,,
0.0,16.58,0.1,0.0,0.2463799999999999,0.0,0.0,,,,,,
0.0,17.13,3.65,0.0,0.2413,0.0,0.0,,,,,,
2.9,17.16,1.95,0.0,0.2311399999999999,0.0,0.0,,,,,,
0.0,17.79,1.93,0.0,0.21336,0.0,0.0,,,,,,
1.0,18.18,1.37,0.0,0.19558,0.0,0.0,,,,,,
0.0,19.13,3.4,0.0,0.17526,0.0,0.0,,,,,,
0.0,23.38,3.42,0.0,0.14986,0.0,0.0,,,,,,
0.0,22.62,7.26,0.0,0.12446,0.0,0.0,,,,,,
0.0,23.19,2.61,0.0,0.09144,0.0,0.0,,,,,,
0.0,25.07,3.3,0.0,0.0609599999999999,0.0,0.0,,,,,,
0.0,26.77,4.19,0.0,0.02286,0.0,0.0,,,,,,
0.0,27.11,6.1,0.0,0.0,0.0,0.0,,,,,,
0.0,29.06,6.71,0.0,0.0,0.0,0.0,,,,,,
0.0,31.24,7.1,0.0,0.0,0.0,0.0,,,,,,
2.11,30.95,10.72,0.0,0.0,0.0,0.0,,,,,,
0.0,27.85,10.52,0.0,0.0,0.0,0.0,,,,,,
0.0,29.58,7.88,0.0,0.0,0.0,0.0,,,,,,
0.0,30.5,11.41,0.0,0.0,0.0,0.0,,,,,,
0.0,31.0,9.77,0.0,0.0,0.0,0.0,,,,,,
0.0,25.75,9.3,0.0,0.0,0.0,0.0,,,,,,
5.42,25.1,7.18,0.0,0.0,0.0,0.0,,,,,,
1.24,23.96,7.34,0.0,0.0,0.0,0.0,,,,,,
0.0,26.0,3.55,0.0,0.0,0.0,0.0,,,,,,
0.0,27.8,6.84,0.0,0.0,0.0,0.0,,,,,,
0.0,27.12,10.1,0.0,0.0,0.0,0.0,,,,,,
0.0,29.17,5.88,0.0,0.0,0.0,0.0,,,,,,
0.0,30.92,6.95,0.0,0.0,0.0,0.0,,,,,,
0.0,30.83,6.98,0.0,0.0,0.0,0.0,,,,,,
0.0,34.59,8.08,0.0,0.0,0.0,0.0,,,,,,
0.0,33.39,8.88,0.0,0.0,0.0,0.0,,,,,,
0.0,33.5,8.31,0.0,0.0,0.0,0.0,,,,,,
0.0,33.11,11.19,0.0,0.0,0.0,0.0,,,,,,
0.0,30.81,6.42,0.0,0.0,0.0,0.0,,,,,,
0.0,27.62,6.1,0.0,0.0,0.0,0.0,,,,,,
0.0,30.88,3.56,0.0,0.0,0.0,0.0,,,,,,
0.0,34.77,7.28,0.0,0.0,0.0,0.0,,,,,,
0.0,35.47,9.93,0.0,0.0,0.0,0.0,,,,,,
0.0,33.82,12.29,0.0,0.0,0.0,0.0,,,,,,
0.3,30.48,13.87,0.0,0.0,0.0,0.0,,,,,,
0.0,29.93,11.34,0.0,0.0,0.0,0.0,,,,,,
0.0,29.94,11.75,0.0,0.0,0.0,0.0,,,,,,
0.0,30.09,9.77,0.0,0.0,0.0,0.0,,,,,,
0.0,31.76,11.26,0.0,0.0,0.0,0.0,,,,,,
0.0,31.62,12.25,0.0,0.0,0.0,0.0,,,,,,
0.0,30.16,8.12,0.0,0.0,0.0,0.0,,,,,,
0.0,29.12,8.14,0.0,0.0,0.0,0.0,,,,,,
0.0,31.82,9.54,0.0,0.0,0.0,0.0,,,,,,
0.0,32.58,9.96,0.0,0.0,0.0,0.0,,,,,,
0.0,30.3,10.23,0.0,0.0,0.0,0.0,,,,,,
0.0,24.58,2.2,0.0,0.0,0.0,0.0,,,,,,
0.0,28.2,2.9,0.0,0.0,0.0,0.0,,,,,,
0.0,28.24,5.93,0.0,0.0,0.0,0.0,,,,,,
0.0,31.45,5.88,0.0,0.0,0.0,0.0,,,,,,
0.0,33.05,7.87,0.0,0.0,0.0,0.0,,,,,,
0.0,32.01,11.45,0.0,0.0,0.0,0.0,,,,,,
0.0,33.25,7.83,0.0,0.0,0.0,0.0,,,,,,
0.0,32.87,9.74,0.0,0.0,0.0,0.0,,,,,,
0.0,32.78,14.56,0.0,0.0,0.0,0.0,,,,,,
0.0,33.48,14.05,0.0,0.0,0.0,0.0,,,,,,
0.0,35.12,13.96,0.0,0.0,0.0,0.0,,,,,,
0.0,34.86,16.86,0.0,0.0,0.0,0.0,,,,,,
0.0,32.83,9.16,0.0,0.0,0.0,0.0,,,,,,
0.0,33.16,7.61,0.0,0.0,0.0,0.0,,,,,,
0.0,34.9,9.75,0.0,0.0,0.0,0.0,,,,,,
0.0,35.39,13.51,0.0,0.0,0.0,0.0,,,,,,
0.0,34.53,9.98,0.0,0.0,0.0,0.0,,,,,,
0.0,34.92,10.95,0.0,0.0,0.0,0.0,,,,,,
0.0,34.77,11.0,0.0,0.0,0.0,0.0,,,,,,
0.0,34.07,11.64,0.0,0.0,0.0,0.0,,,,,,
0.0,33.0,13.11,0.0,0.0,0.0,0.0,,,,,,
0.0,33.66,12.43,0.0,0.0,0.0,0.0,,,,,,
0.0,35.29,9.76,0.0,0.0,0.0,0.0,,,,,,
0.0,34.09,12.8,0.0,0.0,0.0,0.0,,,,,,
0.0,32.07,7.83,0.0,0.0,0.0,0.0,,,,,,
0.0,30.75,9.34,0.0,0.0,0.0,0.0,,,,,,
0.0,31.04,10.48,0.0,0.0,0.0,0.0,,,,,,
0.0,31.04,12.26,0.0,0.0,0.0,0.0,,,,,,
0.0,31.59,9.41,0.0,0.0,0.0,0.0,,,,,,
0.0,31.23,10.16,0.0,0.0,0.0,0.0,,,,,,
0.0,30.42,8.31,0.0,0.0,0.0,0.0,,,,,,
3.64,26.89,8.21,0.0,0.0,0.0,0.0,,,,,,
0.0,27.83,5.92,0.0,0.0,0.0,0.0,,,,,,
0.0,29.68,5.54,0.0,0.0,0.0,0.0,,,,,,
0.0,32.09,5.87,0.0,0.0,0.0,0.0,,,,,,
0.0,31.84,9.34,0.0,0.0,0.0,0.0,,,,,,
0.0,31.34,7.85,0.0,0.0,0.0,0.0,,,,,,
0.0,31.12,8.76,0.0,0.0,0.0,0.0,,,,,,
0.0,29.5,8.89,0.0,0.0,0.0,0.0,,,,,,
0.0,28.91,9.11,0.0,0.0,0.0,0.0,,,,,,
0.0,28.31,7.26,0.0,0.0,0.0,0.0,,,,,,
0.0,31.2,7.12,0.0,0.0,0.0,0.0,,,,,,
0.0,30.63,7.99,0.0,0.0,0.0,0.0,,,,,,
0.0,29.34,7.27,0.0,0.0,0.0,0.0,,,,,,
0.0,27.21,4.85,0.0,0.0,0.0,0.0,,,,,,
0.0,24.54,3.47,0.0,0.0,0.0,0.0,,,,,,
0.0,26.22,5.85,0.0,0.0,0.0,0.0,,,,,,
0.0,27.94,5.6,0.0,0.0,0.0,0.0,,,,,,
0.0,29.57,5.39,0.0,0.0,0.0,0.0,,,,,,
0.0,32.68,6.43,0.0,0.0,0.0,0.0,,,,,,
0.0,32.59,8.1,0.0,0.0,0.0,0.0,,,,,,
0.0,32.33,8.96,0.0,0.0,0.0,0.0,,,,,,
0.0,29.92,9.72,0.0,0.0,0.0,0.0,,,,,,
0.0,29.41,10.8,0.0,0.0,0.0,0.0,,,,,,
1.3,28.95,13.37,0.0,0.0,0.0,0.0,,,,,,
0.0,27.25,9.48,0.0,0.0,0.0,0.0,,,,,,
0.0,23.41,5.83,0.0,0.0,0.0,0.0,,,,,,
0.0,25.14,2.5,0.0,0.0,0.0,0.0,,,,,,
0.0,25.19,3.88,0.0,0.0,0.0,0.0,,,,,,
0.0,25.06,3.07,0.0,0.0,0.0,0.0,,,,,,
0.0,24.25,2.36,0.0,0.0,0.0,0.0,,,,,,
0.0,26.64,-0.15,0.0,0.0,0.0,0.0,,,,,,
0.0,29.01,3.12,0.0,0.0,0.0,0.0,,,,,,
0.0,28.42,15.28,0.0,0.0,0.0,0.0,,,,,,
4.87,25.43,6.69,0.0,0.0,0.0,0.0,,,,,,
14.23,22.16,7.7,0.0,0.0,0.0,0.0,,,,,,
3.73,16.9,6.56,0.0,0.0,0.0,0.0,,,,,,
0.0,20.86,2.16,0.0,0.0,0.0,0.0,,,,,,
0.0,22.94,1.9,0.0,0.0,0.0,0.0,,,,,,
0.0,27.65,3.76,0.0,0.0,0.0,0.0,,,,,,
0.0,29.73,5.18,0.0,0.0,0.0,0.0,,,,,,
0.0,29.41,6.12,0.0,0.0,0.0,0.0,,,,,,
0.0,28.21,7.38,0.0,0.0,0.0,0.0,,,,,,
5.84,23.68,10.04,0.0,0.0,0.0,0.0,,,,,,
23.88,14.97,4.71,0.0127,0.0127,0.0,0.0,,,,,,
11.81,14.06,3.72,0.00254,0.01016,0.0,0.00254,,,,,,
0.0,20.34,0.5,0.02286,0.0254,0.0152399999999999,0.0152399999999999,,,,,,
0.0,24.47,1.75,0.0076199999999999,0.0177799999999999,0.00508,0.00508,,,,,,
0.0,25.71,3.16,0.0,0.0076199999999999,0.0,0.0,,,,,,
0.0,27.12,4.86,0.0,0.0,0.0,0.0,,,,,,
